cohort_week,size,week_1,week_2,week_3,week_4,week_5,week_6
10/26/2020,2365,2365,2184,2128,2094,2075,2062
11/2/2020,19382,18257,17447,17045,16816,16587,16392
11/9/2020,16248,15328,14535,14272,14074,13876,13791
11/16/2020,18323,17265,16517,16166,15919,15748,15680
11/23/2020,20361,19260,18473,18099,17875,17783,17756
11/30/2020,22340,21170,20221,19864,19739,19689,19630
12/7/2020,29050,27691,26835,26631,26550,26424,26352
12/14/2020,25211,24122,23519,23437,23315,23227,23165
12/21/2020,17843,17298,16974,16853,16759,16690,16637
12/28/2020,17097,16565,16189,16030,15924,15839,
1/4/2021,23425,22496,21824,21572,21391,,
1/11/2021,21777,20931,20220,19963,,,
1/18/2021,21021,20066,19230,,,,
1/25/2021,19919,18840,,,,,
